03/09/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58186.29167326	NaN	NaN	NaN
58186.29168515	NaN	NaN	NaN
58186.29169706	NaN	NaN	NaN
58186.29170897	NaN	NaN	NaN
58186.29172088	NaN	NaN	NaN
58186.29173282	NaN	NaN	NaN
58186.29174473	NaN	NaN	NaN
58186.29175665	NaN	NaN	NaN
58186.29176854	NaN	NaN	NaN
58186.29178044	NaN	NaN	NaN
58186.29179235	NaN	NaN	NaN
58186.29180427	NaN	NaN	NaN
58186.29181618	NaN	NaN	NaN
58186.29182810	NaN	NaN	NaN
58186.29184001	NaN	NaN	NaN
58186.29185191	NaN	NaN	NaN
58186.29186382	NaN	NaN	NaN
58186.29187572	NaN	NaN	NaN
58186.29188762	NaN	NaN	NaN
58186.29189953	NaN	NaN	NaN
58186.29191143	NaN	NaN	NaN
58186.29192334	NaN	NaN	NaN
58186.29193523	NaN	NaN	NaN
58186.29194713	NaN	NaN	NaN
58186.29195904	NaN	NaN	NaN
58186.29197094	NaN	NaN	NaN
58186.29198285	NaN	NaN	NaN
58186.29199477	NaN	NaN	NaN
58186.29200665	NaN	NaN	NaN
58186.29201856	NaN	NaN	NaN
58186.29203047	NaN	NaN	NaN
58186.29204237	NaN	NaN	NaN
58186.29205427	NaN	NaN	NaN
58186.29206617	NaN	NaN	NaN
58186.29207808	NaN	NaN	NaN
58186.29208997	NaN	NaN	NaN
58186.29210187	NaN	NaN	NaN
58186.29211378	NaN	NaN	NaN
58186.29212567	NaN	NaN	NaN
58186.29213759	NaN	NaN	NaN
58186.29214950	NaN	NaN	NaN
58186.29216141	NaN	NaN	NaN
58186.29217332	NaN	NaN	NaN
58186.29218523	NaN	NaN	NaN
58186.29219714	NaN	NaN	NaN
58186.29220904	NaN	NaN	NaN
58186.29222095	NaN	NaN	NaN
58186.29223287	NaN	NaN	NaN
58186.29224478	NaN	NaN	NaN
58186.29225669	NaN	NaN	NaN
58186.29226857	NaN	NaN	NaN
58186.29228048	NaN	NaN	NaN
58186.29229239	NaN	NaN	NaN
58186.29230430	NaN	NaN	NaN
58186.29231621	NaN	NaN	NaN
58186.29232813	NaN	NaN	NaN
58186.29234006	NaN	NaN	NaN
58186.29235195	NaN	NaN	NaN
58186.29236385	NaN	NaN	NaN
58186.29237576	NaN	NaN	NaN
58186.29238768	NaN	NaN	NaN
58186.29239960	NaN	NaN	NaN
58186.29241151	NaN	NaN	NaN
58186.29242341	NaN	NaN	NaN
58186.29243531	NaN	NaN	NaN
58186.29244721	NaN	NaN	NaN
58186.29245912	NaN	NaN	NaN
58186.29247102	NaN	NaN	NaN
58186.29248295	NaN	NaN	NaN
58186.29249485	NaN	NaN	NaN
58186.29250675	NaN	NaN	NaN
58186.29251867	NaN	NaN	NaN
58186.29253057	NaN	NaN	NaN
58186.29254248	NaN	NaN	NaN
58186.29255438	NaN	NaN	NaN
58186.29256631	NaN	NaN	NaN
58186.29257819	NaN	NaN	NaN
58186.29259011	NaN	NaN	NaN
58186.29260202	NaN	NaN	NaN
58186.29261393	NaN	NaN	NaN
58186.29262583	NaN	NaN	NaN
58186.29263774	NaN	NaN	NaN
58186.29264965	NaN	NaN	NaN
58186.29266155	NaN	NaN	NaN
58186.29267346	NaN	NaN	NaN
58186.29268537	NaN	NaN	NaN
58186.29269729	NaN	NaN	NaN
58186.29270920	NaN	NaN	NaN
58186.29272111	NaN	NaN	NaN
58186.29273302	NaN	NaN	NaN
58186.29274492	NaN	NaN	NaN
58186.29275683	NaN	NaN	NaN
58186.29276873	NaN	NaN	NaN
58186.29278062	NaN	NaN	NaN
58186.29279253	NaN	NaN	NaN
58186.29280444	NaN	NaN	NaN
58186.29281634	NaN	NaN	NaN
58186.29282824	NaN	NaN	NaN
58186.29284015	NaN	NaN	NaN
58186.29285206	NaN	NaN	NaN
58186.29286398	NaN	NaN	NaN
58186.29287588	NaN	NaN	NaN
58186.29288778	NaN	NaN	NaN
58186.29289969	NaN	NaN	NaN
58186.29291160	NaN	NaN	NaN
58186.29292351	NaN	NaN	NaN
58186.29293543	NaN	NaN	NaN
58186.29294735	NaN	NaN	NaN
58186.29295926	NaN	NaN	NaN
58186.29297116	NaN	NaN	NaN
58186.29298305	NaN	NaN	NaN
58186.29299496	NaN	NaN	NaN
58186.29300687	NaN	NaN	NaN
58186.29301877	NaN	NaN	NaN
58186.29303069	NaN	NaN	NaN
58186.29304259	NaN	NaN	NaN
58186.29305450	NaN	NaN	NaN
58186.29306640	NaN	NaN	NaN
58186.29307831	NaN	NaN	NaN
58186.29309022	NaN	NaN	NaN
58186.29310214	NaN	NaN	NaN
58186.29311406	NaN	NaN	NaN
58186.29312596	NaN	NaN	NaN
58186.29313787	NaN	NaN	NaN
58186.29314977	NaN	NaN	NaN
58186.29316167	NaN	NaN	NaN
58186.29317358	NaN	NaN	NaN
58186.29318547	NaN	NaN	NaN
58186.29319737	NaN	NaN	NaN
58186.29320927	NaN	NaN	NaN
58186.29322118	NaN	NaN	NaN
58186.29323309	NaN	NaN	NaN
58186.29324501	NaN	NaN	NaN
58186.29325690	NaN	NaN	NaN
58186.29326880	NaN	NaN	NaN
58186.29328069	NaN	NaN	NaN
58186.29329260	NaN	NaN	NaN
58186.29330453	NaN	NaN	NaN
58186.29331644	NaN	NaN	NaN
58186.29332833	NaN	NaN	NaN
58186.29334023	NaN	NaN	NaN
58186.29335214	NaN	NaN	NaN
58186.29336405	NaN	NaN	NaN
58186.29337597	NaN	NaN	NaN
58186.29338788	NaN	NaN	NaN
58186.29339979	NaN	NaN	NaN
58186.29341170	NaN	NaN	NaN
58186.29342362	NaN	NaN	NaN
58186.29343552	NaN	NaN	NaN
58186.29344742	NaN	NaN	NaN
58186.29345933	NaN	NaN	NaN
58186.29347123	NaN	NaN	NaN
58186.29348313	NaN	NaN	NaN
58186.29349503	NaN	NaN	NaN
58186.29350692	NaN	NaN	NaN
58186.29351885	NaN	NaN	NaN
58186.29353076	NaN	NaN	NaN
58186.29354272	NaN	NaN	NaN
58186.29355463	NaN	NaN	NaN
58186.29356656	NaN	NaN	NaN
58186.29357845	NaN	NaN	NaN
58186.29359036	NaN	NaN	NaN
58186.29360226	NaN	NaN	NaN
58186.29361416	NaN	NaN	NaN
58186.29362607	NaN	NaN	NaN
58186.29363799	NaN	NaN	NaN
58186.29364990	NaN	NaN	NaN
58186.29366180	NaN	NaN	NaN
58186.29367371	NaN	NaN	NaN
58186.29368561	NaN	NaN	NaN
58186.29369753	NaN	NaN	NaN
58186.29370945	NaN	NaN	NaN
58186.29372136	NaN	NaN	NaN
58186.29373327	NaN	NaN	NaN
58186.29374517	NaN	NaN	NaN
58186.29375708	NaN	NaN	NaN
58186.29376898	NaN	NaN	NaN
58186.29378089	NaN	NaN	NaN
58186.29379280	NaN	NaN	NaN
58186.29380469	NaN	NaN	NaN
58186.29381659	NaN	NaN	NaN
58186.29382849	NaN	NaN	NaN
58186.29384039	NaN	NaN	NaN
58186.29385230	NaN	NaN	NaN
58186.29386421	NaN	NaN	NaN
58186.29387611	NaN	NaN	NaN
58186.29388801	NaN	NaN	NaN
58186.29389992	NaN	NaN	NaN
58186.29391181	NaN	NaN	NaN
58186.29392372	NaN	NaN	NaN
58186.29393562	NaN	NaN	NaN
58186.29394752	NaN	NaN	NaN
58186.29395942	NaN	NaN	NaN
58186.29397133	NaN	NaN	NaN
58186.29398324	NaN	NaN	NaN
58186.29399515	NaN	NaN	NaN
58186.29400710	NaN	NaN	NaN
58186.29401904	NaN	NaN	NaN
58186.29403095	NaN	NaN	NaN
58186.29404286	NaN	NaN	NaN
58186.29405476	NaN	NaN	NaN
58186.29406665	NaN	NaN	NaN
58186.29407856	NaN	NaN	NaN
58186.29409046	NaN	NaN	NaN
58186.29410236	NaN	NaN	NaN
58186.29411426	NaN	NaN	NaN
58186.29412616	NaN	NaN	NaN
58186.29413808	NaN	NaN	NaN
