Time,Frequency
0.0,1.6021881962389373e-18
1.0,3.487646517378842e-17
2.0,3.784063285985768e-17
3.0,-3.483336188020095e-17
4.0,-1.0401729980003368e-17
5.0,-8.890417224816543e-18
6.0,-1.3406143478940327e-17
7.0,-4.565742785745923e-17
8.0,-2.7130256852825348e-17
9.0,3.3387108643063315e-18
10.0,-5.701401573049101e-17
11.0,-4.4035002910916527e-17
12.0,5.1079852887273677e-17
13.0,-5.2177172764250046e-17
14.0,-8.264548186019198e-18
15.0,5.5065104641264586e-17
16.0,-2.0245428398061003e-17
17.0,-4.428578648518377e-17
18.0,2.6069496753487748e-18
19.0,-2.5125202269169678e-18
20.0,1.7917416257049076e-17
21.0,-2.4073426808592498e-17
22.0,-1.1317933219384638e-17
23.0,-4.4063374158217086e-18
24.0,5.072640835522548e-18
25.0,-2.6619224744760313e-18
26.0,6.8615857963194296e-18
27.0,1.2611573350644905e-17
28.0,-3.3685948207158175e-18
29.0,-3.658277143854858e-17
30.0,4.235719948344069e-18
31.0,-4.455137372876539e-17
32.0,6.652430571534497e-18
33.0,-9.381733380379122e-17
34.0,-5.13080296911296e-17
35.0,5.922901007727402e-17
36.0,-1.1454346528719381e-17
37.0,1.3290789471908178e-17
38.0,6.129634662677545e-17
39.0,3.158896836689934e-17
40.0,-2.2396862283231354e-17
41.0,-6.184463104105983e-18
42.0,-2.1333772659362418e-17
43.0,-7.426727233530623e-18
44.0,-1.3870612334605196e-17
45.0,-1.0151612332336263e-17
46.0,-3.023906438881932e-17
47.0,6.791874046345366e-18
48.0,-3.8763142326932855e-17
49.0,3.887323939611232e-17
50.0,3.6902963403590317e-17
51.0,-6.629027160035659e-17
52.0,-3.003458316329177e-17
53.0,5.809737375378091e-18
54.0,4.053719894113847e-17
55.0,-1.6368455479343736e-17
56.0,-4.351600588903064e-17
57.0,7.002014074145292e-18
58.0,1.4813003706985814e-17
59.0,9.32118917118062e-18
60.0,-1.0450837325359926e-17
61.0,-3.374384913309809e-17
62.0,3.467336398340824e-17
63.0,-4.10539375778988e-17
64.0,-6.477642826096754e-18
65.0,-2.1956495871883387e-17
66.0,-1.5495229199508793e-17
67.0,-6.907788785808289e-18
68.0,-3.2218023314358355e-18
69.0,-5.643283420636655e-17
70.0,8.681170597123126e-19
71.0,2.397505931459112e-17
72.0,-2.621380075085518e-17
73.0,4.771781624854029e-17
74.0,-3.965218288793952e-17
75.0,1.986963100695104e-18
76.0,-1.594148929811053e-18
77.0,-1.87432689032856e-17
78.0,1.8069896677764113e-17
79.0,-1.1204643788396656e-17
80.0,2.982005174141803e-17
81.0,-3.539186853986007e-17
82.0,-2.823087513812486e-17
83.0,1.153596897095645e-17
84.0,-2.9499066354601243e-17
85.0,1.652333373727642e-17
86.0,-3.1397680404340827e-17
87.0,-5.251113901883353e-17
88.0,-1.3230000203994575e-17
89.0,6.062604742329566e-17
90.0,3.7746560625349194e-17
91.0,7.097533684048545e-18
92.0,7.644336270427811e-17
93.0,-1.1836263646957158e-17
94.0,-1.494355913301647e-17
95.0,-5.801005886395719e-17
96.0,-1.1768192646980995e-17
97.0,4.315385550267034e-17
98.0,6.278754532823726e-17
99.0,-4.5303799988895e-18
100.0,-2.2851082261647946e-17
101.0,-2.169448905616276e-17
102.0,1.9878268715902334e-17
103.0,3.143382967470975e-17
104.0,1.3491642652538431e-17
105.0,-1.8651970995834256e-17
106.0,-7.575262146099232e-18
107.0,-1.9791775109708172e-17
108.0,-1.9109346613437215e-18
109.0,1.3241214005449913e-17
110.0,5.413239511702026e-17
111.0,3.4352866633410295e-17
112.0,-6.337038453729689e-18
113.0,-1.301293593243954e-17
114.0,-8.297941696843223e-17
115.0,-3.391046118120218e-17
116.0,-8.852682815015127e-17
117.0,-4.911957246743532e-17
118.0,-2.8690084391273234e-17
119.0,-6.099938901955899e-19
120.0,4.596716621338479e-17
121.0,9.533939398357614e-18
122.0,-2.905253042022046e-17
123.0,-4.212182009273407e-17
124.0,3.434501897154984e-17
125.0,-3.1556384311745095e-17
126.0,-2.900298792627776e-17
127.0,-2.132108413745585e-17
128.0,2.842988454337618e-19
129.0,4.191513660081347e-17
130.0,-6.752972384734025e-19
131.0,-2.5420562311811163e-17
132.0,-1.787662274629516e-17
133.0,1.2241082700770486e-17
134.0,-3.885078692618876e-18
135.0,-2.934083580720744e-17
136.0,3.610170288987669e-18
137.0,1.952030254558318e-17
138.0,2.3004540707165533e-17
139.0,-2.080770578172077e-17
140.0,-1.7323793140980964e-17
141.0,-3.277215450711225e-17
142.0,-2.7365465063878475e-17
143.0,2.736494462388281e-18
144.0,3.8748038818509386e-17
145.0,-1.7892464333761818e-17
146.0,-7.165654727675155e-17
147.0,-3.2802028485965786e-17
148.0,-2.569035530902144e-18
149.0,-1.7312389932299953e-17
150.0,6.0409424082068786e-18
151.0,2.3573333752553972e-17
152.0,-4.6375598654806224e-17
153.0,-1.9482841132880355e-17
154.0,-1.2350066870533433e-17
155.0,4.736794972194264e-18
156.0,5.225044484911233e-19
157.0,3.8197535789850504e-17
158.0,2.6748230306053023e-17
159.0,-8.103569275349559e-18
160.0,-3.094069994337939e-17
161.0,1.1378454825932135e-17
162.0,9.461890042932466e-18
163.0,-4.827289872470623e-17
164.0,-3.679941921336603e-17
165.0,-1.9359462715634643e-18
166.0,3.1504285080723595e-18
167.0,-4.138869040373834e-17
168.0,-2.932542823640666e-17
169.0,-2.0442413592430318e-17
170.0,1.1694930948279632e-17
171.0,1.7549921802774177e-17
172.0,-1.6934218307046057e-17
173.0,-3.3334996078225505e-17
174.0,-3.338203436101807e-17
175.0,-3.277373234893579e-17
176.0,4.270354746139249e-17
177.0,-3.665999134783126e-17
178.0,-5.368767530211299e-18
179.0,-3.848498764714662e-17
180.0,-6.363542282661752e-17
181.0,-4.410224209408299e-17
182.0,-2.34061072891762e-17
183.0,3.930356361043999e-18
184.0,-1.0420577074116448e-17
185.0,-9.244533542180374e-18
186.0,4.181369028893202e-17
187.0,-6.469462657918157e-18
188.0,-3.1271976121999876e-17
189.0,2.2379697871564532e-17
190.0,1.298945975800983e-17
191.0,4.587507394623138e-17
192.0,-1.0609996260370907e-17
193.0,2.751504469052857e-17
194.0,-3.3315385891689753e-17
195.0,-1.1705247776790703e-17
196.0,-5.946287079387324e-17
197.0,1.6589151379037196e-17
198.0,1.200995373366303e-17
199.0,-3.2436017513435145e-17
200.0,6.349162300109906e-18
201.0,-2.133207470564906e-17
202.0,-1.9771809089003255e-17
203.0,1.2247805559268907e-17
204.0,3.8599476032602307e-17
205.0,-2.700238080142849e-17
206.0,-4.800593347907601e-17
207.0,-2.483058681761386e-17
208.0,-2.1865112357468334e-17
209.0,1.0531417287126925e-17
210.0,-4.285472681916951e-17
211.0,-7.48053860636427e-18
212.0,-2.8368576305047493e-17
213.0,1.3088414316476677e-17
214.0,2.1778070344065636e-17
215.0,5.008918780033454e-17
216.0,-1.8605397122146848e-17
217.0,-1.0686250691578355e-17
218.0,-9.399550854921634e-18
219.0,-8.975096536080437e-18
220.0,2.0634273038450341e-19
221.0,-5.660642732921776e-17
222.0,4.928294872020802e-17
223.0,-7.426771482088756e-17
224.0,5.164846534496191e-18
225.0,2.0765324092761592e-17
226.0,8.458945010256004e-18
227.0,-7.104369252501934e-18
228.0,-1.8146990260516084e-17
229.0,-2.2422793899588574e-17
230.0,-2.3565546378158417e-17
231.0,3.011441437426129e-17
232.0,1.1369608721829019e-17
233.0,-2.3375568126511754e-17
234.0,4.577947295243988e-17
235.0,2.2597077971692954e-18
236.0,-2.115343324373951e-17
237.0,-5.485399625358078e-17
238.0,1.6173775753442574e-18
239.0,-3.619592051036714e-18
240.0,-1.369028066077878e-17
241.0,1.6510269859287303e-17
242.0,-2.22766094980604e-17
243.0,-3.4989884779676836e-17
244.0,1.6497373210131704e-17
245.0,-5.1074081657468486e-18
246.0,-4.401954162562286e-17
247.0,5.0016079696730325e-18
248.0,-4.4523812853870206e-17
249.0,-2.269259255878328e-18
250.0,1.5123913697396016e-17
251.0,9.339071484518177e-19
252.0,4.1822632439187386e-18
253.0,1.437605041438908e-17
254.0,-2.8524734300597854e-18
255.0,1.2886082760918303e-17
256.0,2.877456986488002e-17
